AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,47-3016,Helpers--Roofers,detailed,8390,12.2,,,,16.86,35080,2.2,11.83,13.5,15.99,19.15,23.87,24610,28080,33260,39840,49650,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,47-4050,Highway Maintenance Workers,broad,149890,0.9,,,,20.77,43200,0.3,13.18,16.27,20.03,24.66,29.78,27410,33850,41660,51300,61940,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,47-5041,Continuous Mining Machine Operators,detailed,14990,4.6,,,,28.05,58340,1.2,18.69,22.21,27.37,33.57,38.52,38870,46190,56920,69830,80110,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,49-2091,Avionics Technicians,detailed,21390,6.7,,,,33.26,69180,1.7,20.03,26.5,32.61,40.33,48.41,41660,55120,67840,83880,100680,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",detailed,147680,1.5,,,,27.4,57000,0.5,17.43,21.45,26.61,31.87,38.94,36250,44610,55350,66290,81000,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,49-3043,Rail Car Repairers,detailed,22310,5.4,,,,28.01,58250,2.0,16.88,21.23,27.74,35.18,39.79,35110,44160,57710,73170,82760,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,49-3050,Small Engine Mechanics,broad,65430,2.2,,,,19.88,41360,0.6,12.27,14.91,18.76,24.08,29.76,25510,31010,39020,50080,61910,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,49-3052,Motorcycle Mechanics,detailed,13490,4.8,,,,19.42,40390,1.1,12.22,14.47,18.28,23.61,29.3,25420,30090,38010,49100,60940,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,49-3091,Bicycle Repairers,detailed,11290,8.6,,,,16.12,33530,1.7,11.41,13.22,15.69,18.65,22.23,23740,27490,32630,38790,46240,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,49-3092,Recreational Vehicle Service Technicians,detailed,15150,5.2,,,,21.05,43790,1.2,13.14,15.91,19.48,24.97,30.32,27340,33090,40520,51950,63060,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,49-9011,Mechanical Door Repairers,detailed,22680,5.6,,,,21.8,45350,1.2,13.63,16.7,20.78,25.69,31.28,28340,34740,43220,53440,65060,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,49-9030,Home Appliance Repairers,broad,27640,4.3,,,,21.06,43810,1.1,12.02,15.47,20,25.44,31.56,25000,32170,41610,52920,65640,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,49-9041,Industrial Machinery Mechanics,detailed,385980,0.9,,,,27.57,57350,0.2,17.17,21.28,26.68,32.39,39.64,35720,44270,55490,67370,82450,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,49-9043,"Maintenance Workers, Machinery",detailed,65240,1.6,,,,24.98,51960,0.5,15.47,19.02,24.08,29.96,36.44,32170,39560,50100,62310,75800,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,49-9044,Millwrights,detailed,44400,3.2,,,,28.4,59080,0.8,17.52,21.63,27.53,34.05,40.24,36450,44990,57260,70820,83690,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,49-9045,"Refractory Materials Repairers, Except Brickmasons",detailed,760,16.6,,,,26.48,55080,2.6,17.4,21.42,26.26,30.79,36.8,36190,44560,54610,64040,76550,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,49-9062,Medical Equipment Repairers,detailed,48510,2.8,,,,26.49,55090,0.7,14.99,18.6,24.81,32.66,40.73,31180,38700,51610,67930,84720,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,49-9080,Wind Turbine Service Technicians,broad,5860,11.1,,,,28.53,59340,1.5,19.47,22.25,27.03,33.13,40.18,40490,46270,56230,68920,83580,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-0000,Production Occupations,major,8519410,0.3,,,,20.08,41760,0.2,11.85,14.12,18,24,31.41,24650,29360,37440,49910,65330,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-1000,Supervisors of Production Workers,minor,599900,0.4,,,,32.12,66800,0.2,18.27,23.32,30.22,38.83,49.28,37990,48500,62850,80770,102510,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-5100,Printing Workers,minor,230720,1.2,,,,19.18,39890,0.5,12.05,14.29,18.08,23.15,28.6,25070,29720,37600,48160,59480,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-5112,Printing Press Operators,detailed,160270,1.4,,,,19.32,40200,0.5,12.08,14.39,18.21,23.31,28.86,25120,29940,37880,48480,60040,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-6030,Sewing Machine Operators,broad,116520,1.9,,,,14.14,29420,0.5,9.74,11.63,13.57,15.91,19.13,20270,24190,28230,33080,39790,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-7000,Woodworkers,minor,240750,1.3,,,,17.24,35850,0.4,11.15,13.32,16.25,19.94,24.9,23190,27710,33800,41470,51800,,
