AREA,AREA_TITLE,AREA_TYPE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000_ORIG,LOC_QUOTIENT,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,0,Cross-industry,cross-industry,1235,53-5031,Ship Engineers,detailed,8410,4.8,,,,38.24,79540,1.8,20.06,25.81,35.87,47.62,62.76,41730,53690,74610,99050,130540,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,53-6041,Traffic Technicians,detailed,7470,3.2,,,,25.28,52590,1.7,14.82,17.87,22.83,31.01,39.53,30820,37170,47480,64510,82230,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,53-6051,Transportation Inspectors,detailed,30020,4.4,,,,37.27,77530,1.4,16.03,25.32,36.45,48.53,60.24,33330,52670,75820,100940,125310,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,53-7031,Dredge Operators,detailed,1550,11.6,,,,24.68,51340,3.3,15.47,18.31,22.62,31.53,37.47,32170,38090,47040,65590,77940,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,53-7072,"Pump Operators, Except Wellhead Pumpers",detailed,10000,6.2,,,,23.61,49120,2.1,13.94,16.92,21.65,28.71,37.43,29000,35190,45040,59720,77860,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,53-7199,"Material Moving Workers, All Other",detailed,28240,4.6,,,,17.56,36530,1.4,11.36,12.58,15.28,21.02,27.86,23620,26170,31770,43730,57960,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-1070,Human Resources Workers,broad,708780,0.5,,,,32.79,68200,0.2,17.36,22.75,30.02,39.73,51.9,36120,47320,62440,82650,107950,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,15-1230,Computer Support Specialists,broad,832750,0.7,,,,28.51,59290,0.3,15.97,20.14,26.33,34.76,45.51,33220,41880,54760,72300,94660,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,17-3010,Drafters,broad,192760,1.1,,,,28.6,59480,0.4,17.27,21.6,27.32,34.17,42.17,35920,44930,56830,71080,87720,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,19-1020,Biological Scientists,broad,108980,2.4,,,,42.84,89100,1.8,21.8,28.38,38.26,51.09,69.89,45350,59030,79580,106260,145370,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,19-1040,Medical Scientists,broad,134600,3.0,,,,46.95,97650,1.1,23.43,29.55,41.97,57.96,76.08,48730,61460,87290,120570,158240,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,19-1090,Miscellaneous Life Scientists,broad,6450,5.2,,,,41.29,85890,3.5,18.93,25.86,36.49,50.16,69.96,39380,53780,75910,104340,145510,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,19-2090,Miscellaneous Physical Scientists,broad,17550,2.8,,,,53.88,112070,1.4,24.85,37.24,52.84,66.97,79.46,51680,77460,109910,139300,165270,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,23-2090,Miscellaneous Legal Support Workers,broad,97970,2.2,,,,29.18,60690,3.5,14.51,18.92,25.21,34.29,53.19,30180,39340,52430,71320,110640,,
99,U.S.,1,0,Cross-industry,cross-industry,1235,25-1040,"Life Sciences Teachers, Postsecondary",broad,64330,1.7,,,,*,97110,2.1,*,*,*,*,*,44230,59590,83370,120600,168460,True,
