AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2030,Budget Analysts,broad,48430,1.0,,,,,42.16,87680,0.3,25.48,31.42,39.55,50.14,61.62,53000,65360,82260,104290,128170,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2040,Credit Analysts,broad,71960,1.5,,,,,44.32,92180,0.5,23.06,28.99,37.91,50.91,77.79,47960,60290,78850,105900,161800,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2052,Personal Financial Advisors,detailed,283060,1.3,,,,,66.22,137740,1.6,22.45,29.79,45.86,79.61,#,46700,61960,95390,165590,#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2060,Financial Examiners,broad,63370,1.2,,,,,45.97,95610,0.5,23.31,29.93,39.52,56.91,78.25,48490,62250,82210,118370,162760,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2071,Credit Counselors,detailed,29090,3.3,,,,,24.83,51650,1.0,16.19,18.79,22.75,28.07,35.72,33670,39090,47320,58390,74310,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2072,Loan Officers,detailed,345550,1.4,,,,,40.46,84160,1.0,16.79,23.02,31.6,47.69,66.63,34920,47890,65740,99200,138580,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-2082,Tax Preparers,detailed,82370,3.3,,,,,26.85,55840,1.4,13.31,16.52,23.2,35.82,46.45,27680,34350,48250,74500,96610,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,detailed,505210,1.4,,,,,51.7,107530,0.5,29.52,38.03,49.15,62.69,77.88,61390,79100,102240,130400,161980,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,15-1212,Information Security Analysts,detailed,163690,1.3,,,,,57.63,119860,0.7,31.73,41,53.85,67.85,83.91,66010,85270,112000,141130,174540,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,15-1230,Computer Support Specialists,broad,865750,0.6,,,,,30.97,64410,0.4,17.92,22.34,28.68,37.18,48.02,37270,46470,59660,77330,99880,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,15-1231,Computer Network Support Specialists,detailed,168920,1.2,,,,,36.57,76060,0.9,20.41,25.05,32.72,42.82,55.39,42440,52100,68050,89060,115220,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,15-1232,Computer User Support Specialists,detailed,696830,0.7,,,,,29.61,61580,0.5,17.59,21.79,27.83,35.44,45.63,36580,45330,57890,73720,94920,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,15-1241,Computer Network Architects,detailed,173920,1.0,,,,,62.25,129490,0.7,35.33,45.86,61.01,77.06,89.02,73490,95380,126900,160270,185170,,
